Tweet original,Human subject sentiment,LabMT sentiment,WSUV sentiment,combined sentiment
#backpacking all weekend got us tired!  Planning our next #escape   #bigswingsapp #travel #hike #swim #ttot #sun https://t.co/wfmqQnsfGm,6.266666667,5.833333333,6.788836046,6.326149354
#bucketlist #Batanes the northern most #island of the #PH Said to have slow paced living and views of grandeur #ttot https://t.co/oEQmgLPwQT,6.304347826,5.23,6.472547921,5.753019168
#CostaRica offers lots #adventure activities #nature #photography. Great #vacation destination! https://t.co/2bZmezhb6r,6.456521739,6.7,7.333675354,7.333675354
#Didyouknow booking a holiday is a great way to combat #JanuaryBlues?  https://t.co/8ot4NMkNpx  #ttot  @STN_Airport #TravelTuesday,6.195652174,6.253333333,6.822343206,5.636937282
#Explore the Crusader Castles of #NorthCyprus today with our daily or week long walking tours. #active #holidays https://t.co/4TSqymFT95,6.630434783,6.36,6.671602619,6.159447765
"#Stay at the #Tropicana #LasVegas Super Low #Winter Rates, book at #roomandmore.com   #travel #vacation #ttot #hotels #resort #booking #deal",5.304347826,6.193333333,6.26902331,5.9592487
#Taipei here I come!   First time #couchsurfing but super excited! #Taiwan #travel #ttot @Couchsurfing,6.681818182,7.65,6.216706591,5.882248839
#Travel #ttot Dubai Government issues statement on massive fire at THE ADDRESS Hotel downtown: After a massive... https://t.co/XPQWTgybXm,2.466666667,4.62,5.795431219,5.262980348
#Travel Q: MIA to San Fran @ $250 plane tix a low? How low could I go? #girlstravel #wanderful #ttot ##runcation #travelphotography #vote,5.434782609,4.54,5.517798084,5.314537725
#traveltuesday avoid @HeathrowAirport Terminal3 arrivals - flu another airline if necessary #ttot chaos no electronic stations,2.913043478,3.876,5.151916377,4.722305459
#ttot  universal language of the smile and laughter:) https://t.co/FTo7LOTMsu,6.577777778,7.375,5.837209302,5.899534884
"#ttot Forgot to check-in online?Not to worry,utilize self-checkin machines in the parkades &amp;terminal then do a bag drop with your airline",6.022222222,4.24,5.814651599,5.264263653
#Udaipur Lake Palace #Rajasthan #photo great #wedding &amp; #honeymoon destination #travel #ttot #road2travel 4 more https://t.co/jlRg0Qm8ls,5.173913043,6.925,6.945455771,6.867071796
#ValentinesDay is coming you can submit your #Cyprus #events here https://t.co/DHFf0to0VA it's free. #happylife #travel #love #dinner #ttot,5.804347826,7.96,6.393246837,5.913298735
@findery I could use a week at an all inclusive resort right now! Can't wait to hear your tips #finderychat #ttot,6.177777778,5.135,5.07943074,5.276000949
@LeightonDennyEN Blood donor for British crash victim in #Thailand needed asap! Please share! #LucyHill #ttothttps://t.co/Gtyaw32xbx,2.956521739,3.895,4.815503876,4.798501292
@passion_4travel A First Time Visitors Guide to New York City https://t.co/luJufxC5Mk #ttot #travel,5.739130435,6.21,6.26015556,6.043735356
@sthi1285 @travelabouts We're on Curacao right now and I wonder if there's some kind of regulation when we come back to the US. #zika #ttot,4.311111111,7.24,5.790019865,5.535005959
@TK_INDIA Don't lie. You are the worst airline company and worst customer service of the world. https://t.co/1fUgAEQdmy,3.739130435,3.836666667,3.471216612,4.613544851
@tuiindia amazing ad! Spread that #wanderlust and get everyone #adventuring :)   https://t.co/569n13R8fe,5.956521739,7.66,7.66031746,6.332619048
@zamlos we headed to there in the fall (https://t.co/BkPD1mhyEu) - looks just as beautiful this time of year!  https://t.co/tHtnAykkaA,6.866666667,7.92,6.245363918,5.602577982
"[New] I wanted to like #Oamaru a lot, but it was a struggle - read on. #NZ #travel #ttot https://t.co/B8QJuTRFqq https://t.co/zN5wPtOULM",3.586956522,4.96,6.236382114,5.380762195
{ Superb Junior Suite #opera view@GHBordeaux #Bordeaux @BordeauxTourism } #ttot #lp #vacation #trip #luxuryhotel https://t.co/AFrcJZZXMq,6.090909091,6.3,7.709652108,6.945791265
2015 wasn't anything I expected it to be in the best way possible!What was bad became the greatest year yet! #ttot  https://t.co/uE8CczsbOe,6.955555556,4.95,4.871764399,5.275017247
4 hours to spend in Munich - any ideas or recommendations? Travelling without baby (whoop whoop) so can be a tiny bit alcohol related #ttot,6.022222222,6.88,5.08434543,5.147416034
A good read about #Amsterdam sights and eats from fellow #travel blogger @passport_plates :)  https://t.co/eWBZaX175L,6.326086957,6.54,6.978041606,6.317256373
"A jeep water fight in Marmaris, Turkey. #ttot #travel #travelblog #travelblogger https://t.co/C51At4YNj6",5,5.186666667,6.359646654,5.604823327
A1: I thought #Turkey was very budget friendly. As a South African only 5 times to our Rand is always good! #ttot https://t.co/7ln6HJcOWP,5.488888889,6.85,5.344455491,5.425420809
"Absolutely love this shot by @iancook57, #photography #picoftheday #love #travel  @PhotographyFest @ukphotoshow  https://t.co/udCcISPUWZ",6.681818182,5.74,6.560306472,6.218016145
Avoid overwhelm with your #grouptravel planning #ttot https://t.co/kerSZv6g34,4.739130435,4.65,4.477106227,5.068553114
Beautiful Morning at Maldoli village. #travel #ttot https://t.co/CUIvNJV9rP,7.136363636,6.92,7.217963608,6.638472706
"Beautiful Nyinabulitwa Crater Lake, Fort Portal, western #Uganda. #travel #nature #adventure #visituganda #africa https://t.co/AIxeCOln9D",5.52173913,6.92,6.868507288,6.868507288
Beautiful photo by beautiful person! https://t.co/D5JPNnOAEQ,6.795454545,7.573333333,7.918505614,7.183879211
Beautiful picture and poignant quote... https://t.co/7IQUxTO6dZ,6.5,7.28,7.811131958,6.947421305
Bit of a mad design this airport #AbuDhabi #ttot #travel #UAE https://t.co/JuIlIdQWNP,4.933333333,4.46,5.368140244,5.070284553
Blogged my trip to Copenhagen at long bloody last!https://t.co/qOF50CpSQl #TbloggersUK #travel #ttot,5.956521739,4.97,6.655489623,5.700244811
"Blue Sky, Sunshine, Clean Beach, crystal Clear waters #Eritrea well-don Matt thank you!! https://t.co/jJ1EV9CgS8",7.782608696,7.1,5.25,6.281428571
Bodo library Norway. Queens College Oxford. Stourhead House Wiltshire https://t.co/YIql57PcKH,5.282608696,6.535,6.43902439,6.559756098
Can't believe back to work tomorrow bring on the #commute #travel #ttot #trlt,3.217391304,4.8,4.735549748,5.033531658
can't wait to see you live again this year for the 2nd time. Your the only reason why   https://t.co/AyvIo73Yju,6.088888889,4.666666667,4.615790085,5.082291201
Courage means you don't let fear stop you. #TravelTuesday #ttot #StPatricksDay https://t.co/w6GW2lDJwt https://t.co/cs6S0VJY3S,6.217391304,4.345,3.836013289,4.782508306
Darling Harbour - expensive tourist trap. Bondi Beach - yuck. We have to stop telling travellers they're must sees. https://t.co/VJFSCETCaF,3,5.054285714,5.03421353,5.454259465
Didn't realize this. Added to my #shark bucket list!  https://t.co/jOcnpuiVNC,5.5,4,3.844407531,5.07480251
Discover rich culture &amp; heritage of Golden Triangle cities with scenic beauty of Goa.https://t.co/fKOlveSUgv #ttot https://t.co/cCNtP7ipzy,6.659090909,7.213333333,7.283547588,6.715307336
Don't let a disability stop you from adventure! https://t.co/14MTyH1Zli,5.847826087,4.966666667,3.219269103,4.746423034
Don't let your 2016 vacation days go to waste!Find out how I plan to use mine: https://t.co/gWXAvREG59 #travel #ttot https://t.co/5KvaAIBmxU,5.782608696,5.46,6.420283788,5.724113515
Enter to #win a 7 Night European River Cruise #Sweepstakes from @Auto_Europe #ttot #rivercruise #giveaway https://t.co/FkP71cpehm Enter once,6.043478261,6.533333333,6.648803947,6.167633501
EU border controls: Schengen passport-free travel zone on the brink of collapse #Europe #travel #ttot https://t.co/KfXAHPEAZ3,3.347826087,5.04,6.70326767,5.531307068
Fear Flying? Forget breathing exercises in which you try to escape. Read  https://t.co/j0qGgPogYa #travel #rt #ttot https://t.co/WEbC86M5N1,4.434782609,5.183333333,4.618721639,5.359535142
"Fes, the Athens of Africa: A Photo Journal. feat. @cafeclock @airbnb and how to avoid scams. #travel #morocco #ttot https://t.co/TCRAQxqqTz",5.244444444,5.01,5.9456473,5.433476046
Follow @the_hostelgirl to see what it's really like in the Worst Hotel in the world!  https://t.co/7xT1yZIIry,2.347826087,4.926666667,4.81935216,5.318262203
"For smooth travels all through the year, don't forget these must-pack accessories. https://t.co/lqHurdQLRh #ttot https://t.co/xVelRbzUHI",6.347826087,4.573333333,4.383275261,5.232202865
"Fraser Island, low tide #fraserisland #queensland #kingfisherbay #seeaustralia #australia #ttot #travel https://t.co/SEr5OvZGl1",6.318181818,5.22,5.851419708,5.869135766
From missing your flight to losing your passport: how to deal with common travel disasters.https://t.co/pDiEqekvP7   #travel #ttot,6.760869565,5.032,6.578226053,5.373652162
fuckin earthquake scared the shit outta me https://t.co/j5fkqcR2UM https://t.co/qubIAd4oEl,2.434782609,2.71,2.268292683,3.806898955
Good morning! lovely day here in Maldives Islands #travel #January and save more... #ttot #beaches #surfing #diving #spa,6.97826087,6.74,6.958948096,6.599190843
Good tips on saving money for your travels. In the end it all comes down to priorities. Is travel a priority or not? https://t.co/ZfOQuIO2Rt,5.2,6.984,5.489972672,5.398989069
Great hacks for first time family campers! https://t.co/pcg5phG7ys,5.913043478,7.8,6.038344948,5.901954123
"Great list! 13 cities, short &amp; sweet. For 20, I'd add Tokyo Berlin Rio Buenos Aires Sydney &amp; S Africa #lovecitylife https://t.co/To1pftXnjI",6.630434783,7.76,6.094819352,5.887141347
"Guardian's Best Beaches in the World; very good taste, #BCTourism  No.33 #ChestermanBeach No.47 #EnglishBay https://t.co/vNr4Mdc43x",6.413043478,6.866666667,7.710365854,6.533455285
Have you ever stayed at a jail #hotel ? Read about our experience in #switzerland ! Newest post on https://t.co/RmALD7OPNa #lucerne #ttot,4.266666667,5.28,6.508294574,5.654204286
Head to Kerala This Holiday Season! https://t.co/T4PczpXb8b #Kerala #travel #ttot #holidays,6.181818182,7.68,6.185123887,5.893842915
"Here's 15 (+4) reasons to visit #vienna 's dirty, little secret, the 15th district: https://t.co/o5GvJPyrcs #ttot https://t.co/fT0GdyKIyn",5.347826087,4.87,6.316853375,5.595926688
Hi! I'm on a little pause here while spending family time in #CostaRica. Back soon w/ great stuff. Stay tuned! #ttot https://t.co/cRtd2SCXVC,6.444444444,7.2,5.761774245,5.519526232
"Holiday in Ubud? Get this amazing 20% discount! Galungan-Kuningan Giveaway,Yeay!      https://t.co/s4soqLBLKy",5.695652174,7.23,8.164924507,6.561969803
"Hotel Review: Hotel Nazionale, Portofino, Italy | Saves Lives Will Travel #BlogArchive #travel #ttot #Italy https://t.co/jlOxnSVKxd",5.586956522,6.38,7.453773401,7.038071156
"Hotel Review: Pumphouse Point, Lake St Clair https://t.co/vl843h2UVE #ttot #hotel #review #travel #alluxia https://t.co/KWIAnjLenh",5.772727273,6.45,6.728011641,6.420009701
How To Choose Good Walking Shoes https://t.co/dnMTc1MqI5 #blog #travel #traveltips #ttot #travelblog,5.295454545,6.48,6.314184569,6.017347655
https://t.co/rQTqb9HdOe 44% Discount US$83 Double Room 2 stars Midtown Inn #Miami #USA - #traveltips #ttot #socialmedia,5.108695652,6.773333333,6.321654514,6.261489062
"I also saw Iceland on a list as one of the most heavily threatened tourism destinations, due to volume of visitors https://t.co/xIEMSSrx1o",3.577777778,4.47,6.077213382,5.296442676
I can't wait to follow along with @SilverSpoonLDN's 2016 travel hijinks...  https://t.co/RBV1zKHnUw #travellinkup #ttot,5.565217391,4.78,4.502128176,5.013564088
"I lived in Malaysia and I LOVE Borneo, especially Sarawak laksa, Bako National Park, and Bario.  https://t.co/0Rw9abSCbs",6.488888889,7.75,6.175793651,5.828738095
I think this is where I would love to spend my final days. So beautiful. https://t.co/EvVv2ZMjj0,6.466666667,8.17,6.34702381,5.585695971
It's #TravelTuesday what a better place to spend it than at Darkwood Beach in #AntiguaAndBarbuda #Caribbean #ttot https://t.co/Z7FcssXMmb,6.782608696,7.94,6.225793651,5.681054422
Kids travel for free! More to know on public transit in #Berlin: https://t.co/VdoCXcWG8M #ttot https://t.co/PZhKFczgxD,6.673913043,7.506666667,6.030492899,5.67714787
Looking forward to our next QuickTrip!  @turksandcaicos - can't wait to see your beautiful self!  #ttot #travel.,6.847826087,5.295,4.905182927,5.352793792
Lose yourself in @VeganWorldTrekr's one year worth of #vegantravel reviews https://t.co/f3GpPZdW7C #veganism #ttot https://t.co/qVo3q6MaB0,5.555555556,4.77,4.438425802,5.014855912
"Love, love, love that castle! https://t.co/SaxZaWv5bL",7.108695652,7.9,8.075,6.5075
Lovely having you @fit_travels - please come back any time you need to relax! #crownlanta #kohlanta #travel https://t.co/jpVrgBGZfq,6.847826087,7.51,5.991949768,5.787316589
"Lytton (Blue Sky Country) - BC, Canada by @awr24 | https://t.co/PR8KrrB7wZ | #ttot https://t.co/QPFTe4gl8t",5.326086957,7.02,7.112369338,6.401579559
Mile High Fight Club? #travel #ttot  https://t.co/dOGt96Hc81,4.413043478,4.67,6.327093969,5.420320477
Most Beautiful Travel Quotes to Inspire Wanderlust - https://t.co/SBdkqtxmvF #inspiration #ttot #travel #life,6.636363636,7.406666667,7.151219566,6.840975652
Moving to Italy: Important Road Trip https://t.co/BU6rmXAlZy via italyandson #Italy #family #TravelTuesday #travel #ttot #travelblogger,6.318181818,6.5,6.549939555,6.293586908
Never too early to start #travel plans: 14 places in #America to visit in 2016 https://t.co/W5jciW7eZN #ttot #family #USA via @USATODAY,6.304347826,6.245,6.886813409,5.930549562
NEW BLOG POST: Spend New Year discovering charming Northern Morocco https://t.co/XUO4P8s5YP #travelblogger #ttot #lp https://t.co/WiqG6DlDE1,5.608695652,6.02,6.185432331,6.312345865
Nuremberg Castle- Guide &amp; Photo Tour https://t.co/jhTc83oOIz #Germany #travel #ttot https://t.co/JNws027RCo,6.386363636,6.495,6.78946615,6.78946615
On my bucket list a great spot @crazyintherain #MarinaBaySands  https://t.co/CeJl6R1dC7,6.413043478,7.88,5.991955907,5.846831947
Outer Shores Expeditions debuts Southern Gulf Islands experience. @OuterShores #ttot #bc  https://t.co/Dv2BXDqqmq https://t.co/ZLLhjjRek5,6.130434783,6.44,6.75332226,6.165328904
Planning to visit Rhodes this summer? Read @thislifeintrips review about our resort https://t.co/EzMs9L0rbR #travel #ttot #holiday #vacation,5.652173913,6.544,6.899214788,6.372809859
Planning your summer break?Make it meaningful with us! #ttot #travel #vacay #vacation #holiday #tourism #wanderlust,6.065217391,6.186666667,6.980630217,6.520441152
"Prehistoric Rock-Art Sites Of The Coa Valley, Portugal Tourist Information  https://t.co/9fHpDkxDNH #ttot #Travel",5.636363636,6.23,6.361167788,5.960834134
Quick Guide: The Monkey Temple in #Nepal #Himalayas https://t.co/73d7RtSvRN #tbex #travel #ttot #culture https://t.co/7GFOU386V9,6.090909091,6.135,6.156300678,5.942687924
Read Miss Mellisa's funny illustration of her misadventures and travel nightmares.  https://t.co/we7dK6EiXo,6,5.73,5.499937343,5.872476504
RT @lifefrance  Weekly newsletter and round up of fantastic features from #France: https://t.co/QN4fQQSZOK #ttot,5.888888889,7.78,6.304973766,5.711099452
RT @MiddleSeatView **New Post** Hotel Review: Saddlebrook Resort https://t.co/j2gF4mG786 #lp #ttot,5.022727273,6.63,7.458748616,6.599165744
"RT @shimlalife: One fine day at Colorful Shimla! If you feel lost, #travel to a new place. #ttot #WomensDay... https://t.co/GPNd6u2TgG",6.608695652,5.246666667,6.918164696,5.964050676
SCARY stuff!!!  More hotels in #SouthAfrica are increasing their rates.  #rand #zar  #currency #ZumaMustFall #ttot #travel,3.086956522,5.08,6.375919474,5.57419538
Seductive Souks &amp; Desert Sunsets: Finding Romance in Morocco https://t.co/VD7FMQZjHI #travelblog #ttot https://t.co/QvUwshkgBp,5.913043478,7.5,5.834189337,6.056126225
"Silverdale, Washington hotel offers spectacular water views! https://t.co/zK7bdn0xLH #ttot #travel #traveltips https://t.co/fQK1hGnwod",6.369565217,6.345,7.108033312,7.108033312
Some fun things to do in #Malaga if you're looking for a bit of excitement and #adventure! https://t.co/MLOvC0Jxqg https://t.co/Lq6L5pAXJK,6.533333333,7.79,5.986823796,5.603153012
"something broke on austins truck, and we lost control and spun all the way around int https://t.co/RPWrtmnFGj https://t.co/WjLejSj6n0",2.666666667,2.65,1.7234827,4.85558045
Take me back to land of ice and fire... #Iceland #travel #adventure #photography #ttot #travelphotography https://t.co/ouWZvcFll2,6.847826087,4.99,6.381597139,5.99636747
That moment where I panic and think I've lost an entire day b/c my computer is still on European time. #ttot #globalnomad #travel,4.822222222,4.675,5.780784623,5.463235387
That's the right kinda crazy:) A joyous journey verses a ruthless competition. Winning is getting there together. https://t.co/5TfiyKemFm,6.239130435,7.59,6.168850444,5.71514103
The Great Ocean road from a Drivers Perspective #ttot #travel #Greatoceanroad #Melbourne #driver #tourist https://t.co/rNZsXduTg0,6.52173913,6.96,7.124315996,6.379184331
The Original Bad Ass Female Backpackers #ttot #travelchat #girlpower https://t.co/70Ty51IIFr https://t.co/XY97B2Tu2G,6.239130435,4.935,4.929062114,4.997864391
The tea garden in Munnar you can't miss it... #munnar  #teagarden #kerala #photography #ttot #nature #landscape https://t.co/4ti5YYozC1,6.108695652,5.235,5.56938945,5.570465054
The travelling bug is starting to kick in again. https://t.co/DXcQelkova,5.543478261,4.586666667,6.25,4.878571429
The ultimate adrenaline rush in travel adventures. https://t.co/UppqWGOX3Q,6.369565217,6.86,7.355263158,5.862105263
The ultimate guide to experiencing Burning Man all year long in #Reno! https://t.co/UNWI2tdICL | #travel #ttot https://t.co/be4hMuhP1i,5.8,5.173333333,6.192391988,5.658895326
Theoxenia Palace #Hotel #Athens. A Small Luxury Hotels of the World - https://t.co/h9KkrS7RYt  #travel #resort #ttot https://t.co/wG9PpEWKps,5.826086957,6.69,6.747198785,6.28523548
"Thinking about a @DisneyCruise? What you need to know via @TravelBabbo, the good and the bad: https://t.co/a3cHacnNy2 #familytravel #ttot",5.288888889,5.373333333,7.011111111,5.633809524
thinking of renting out your holiday home?  https://t.co/O4mMEt2QiY https://t.co/xPEmNgbZqc,5.130434783,7.033333333,7.151829269,5.892731707
This photo is killing me as I'm sitting at my desk in London... Anyone want to go to Koh Rong??  #wanderlust  https://t.co/5jXSN2g6Zr,5.155555556,5.013333333,6.216071429,5.369126984
Tipping cheat sheet: who to tip &amp; how much https://t.co/boKqYKTyxF #ttot https://t.co/mTaSbPmewd,5.52173913,4.34,5.829268293,4.788211382
Too bad it's like 100 bucks a day to rent a car and otherwise impossible to get to these spots. https://t.co/zfHIcwkW0a,2.955555556,4.84,4.770784897,5.127440249
"Travelling, meeting locals and a free tent pitch? @PitchPlaces #travel #ttot",5.522727273,7.96,6.50206679,6.078044527
Ultimate Travel Gear and Trip Packing Guide 2016 - https://t.co/u1LTTIM1aD #travelgear #trippacking #travel #ttot #howtopack #rtw #worldtrip,5.909090909,6.705,6.451383872,6.328245485
We are back! Can't wait to share all our favourite #Africa experiences with you! #ttot #travel,7.239130435,5.484,5.359529212,5.681321175
Weird street #food around the world. I'm in #10! #travel #ttot #rtw #southafrica #foodie https://t.co/KaNnnNpwK0,5.804347826,6.52,5.954551394,5.794219195
Why Villager was lying in dark cold water above the Arctic Circle #Sweden #ttot https://t.co/LotHiAGITO #oas_2015 https://t.co/d8PAAVtoir,3.630434783,4.366666667,5.505971483,5.109444176
"Why You Should Avoid Loboc Tarsier Conservation Area in Bohol, Philippines #ttot #lp #NGTRadar https://t.co/j7Q4cZG2GU via @iAmAileen",3.065217391,4.87,4.742160279,5.342942315
"Winter fun at Deerfield Beach pier, Florida. #lovefl #travel #travelphotography #beach #ttot #hellosunny #florida https://t.co/iUdX6RjdNQ",6.173913043,7.533333333,6.944729084,6.689137949
Wonderful place to live. https://t.co/6wgIGpP3UI,7.136363636,7.3,7.455865273,6.630576849
"Wow, how cool! Experience",6,7,7.333333333,6.006666667
Wow. This new plane interior is awesome. https://t.co/SachOgjoa0,6.739130435,7.12,5.404761905,5.652952381
Yeah i heard its beautiful &lt;3 So added to my bucket list :D https://t.co/ZAo0UOYoey,6.956521739,7.92,6.249898675,5.864949338
you were born an original. don't die a copy.  #quoteoftheday #travel #wanderlust #unique #hotels #bedifferent #ttot https://t.co/YcyqBdzv6Y,5.777777778,4.655,5.753293899,5.275317559
Your Ultimate #Boracay Side Trip Travel Checklist! https://t.co/jTuah3ser5 #travel #Asia #Philippines #ttot #Antique #Romblon #wanderlust,5.239130435,6.906666667,6.577406666,6.468805925
Your WEST VIRGINIA PRISON OF THE DAY post now follows: Trans-Allegheny Lunatic Asylum  https://t.co/hMJeLH1w4S https://t.co/IAyd8oKSxd,3.844444444,4.86,5.819137065,5.257568532
